ID,condition,trialType,objects,ratings
611,BB,Experimental,B,0.887
612,BB,Experimental,C,0.883
613,BB,Experimental,A,0.91
614,BB,Experimental,B,0.887
615,BB,Experimental,C,0.887
616,BB,Experimental,A,0.908
617,BB,Experimental,B,0.892
618,BB,Experimental,C,0.885
619,BB,Experimental,A,0.912
620,BB,Experimental,B,0.892
621,BB,Experimental,C,0.892
622,BB,Experimental,A,0.915
623,BB,Experimental,B,0.891
624,BB,Experimental,C,0.887
625,BB,Experimental,A,0.915
626,BB,Experimental,B,0.892
627,BB,Experimental,C,0.891
628,BB,Experimental,A,0.912
629,BB,Experimental,B,0.891
630,BB,Experimental,C,0.887
631,BB,Experimental,A,0.909
632,BB,Experimental,B,0.883
633,BB,Experimental,C,0.883
634,BB,Experimental,A,0.91
635,BB,Experimental,B,0.887
636,BB,Experimental,C,0.884
637,BB,Experimental,A,0.915
638,BB,Experimental,B,0.89
639,BB,Experimental,C,0.889
640,BB,Experimental,A,0.915
641,BB,Experimental,B,0.892
642,BB,Experimental,C,0.883
643,BB,Experimental,A,0.914
644,BB,Experimental,B,0.883
645,BB,Experimental,C,0.891
646,BB,Experimental,A,0.915
647,BB,Experimental,B,0.892
648,BB,Experimental,C,0.892
649,BB,Experimental,A,0.909
650,BB,Experimental,B,0.892
651,BB,Experimental,C,0.89
652,BB,Experimental,A,0.915
653,BB,Experimental,B,0.891
654,BB,Experimental,C,0.892
655,BB,Experimental,A,0.915
656,BB,Experimental,B,0.883
657,BB,Experimental,C,0.889
658,BB,Experimental,A,0.914
659,BB,Experimental,B,0.884
660,BB,Experimental,C,0.891
661,BB,Experimental,A,0.911
662,BB,Experimental,B,0.884
663,BB,Experimental,C,0.884
664,BB,Experimental,A,0.909
665,BB,Experimental,B,0.891
666,BB,Experimental,C,0.89
667,BB,Experimental,A,0.91
668,BB,Experimental,B,0.891
669,BB,Experimental,C,0.886
670,BB,Experimental,A,0.907
671,BB,Experimental,B,0.89
672,BB,Experimental,C,0.889
673,BB,Experimental,A,0.915
674,BB,Experimental,B,0.891
675,BB,Experimental,C,0.892
676,BB,Experimental,A,0.907
677,BB,Experimental,B,0.885
678,BB,Experimental,C,0.883
679,BB,Experimental,A,0.908
680,BB,Experimental,B,0.888
681,BB,Experimental,C,0.884
682,BB,Experimental,A,0.907
683,BB,Experimental,B,0.892
